date,programmer,project,time
2020-02-06,Mariola,BIRDY,2.25
2020-02-07,Hella,BIRDY,1.25
2020-02-07,Mariola,NSTAT,0.25
2020-02-07,Hella,NSTAT,0.5
2020-02-07,Hella,XTOR,0.75
2020-02-07,Antonie,NSTAT,0.75
2020-02-07,Mariola,NSTAT,0.75
2020-02-07,Hella,NSTAT,4.0
2020-02-07,Hella,NSTAT,4.0
2020-02-07,Mariola,BIRDY,3.25
2020-02-07,Hella,BIRDY,1.25
2020-02-10,Hella,NSTAT,0.75
2020-02-10,Mariola,BIRDY,1.25
2020-02-10,Hella,BIRDY,1.0
2020-02-10,Mariola,XTOR,2.0
2020-02-10,Hella,XTOR,1.25
2020-02-10,Hella,NSTAT,1.5
2020-02-10,Hella,BIRDY,1.75
2020-02-11,Mariola,BIRDY,2.25
2020-02-11,Hella,XTOR,0.25
2020-02-11,Fatima,NSTAT,0.25
2020-02-11,Hella,BIRDY,0.25
2020-02-11,Hella,NSTAT,4.25
2020-02-11,Mariola,BIRDY,0.75
2020-02-11,Hella,XTOR,0.75
2020-02-11,Hella,BIRDY,0.75
2020-02-11,Hella,XTOR,0.75
2020-02-12,Mariola,NSTAT,0.75
2020-02-12,Mariola,BIRDY,3.0
2020-02-12,Hella,NSTAT,3.0
2020-02-12,Hella,BIRDY,1.0
2020-02-12,Hella,XTOR,1.0
2020-02-12,Mariola,XTOR,0.75
2020-02-12,Mariola,XTOR,1.75
2020-02-12,Hella,XTOR,0.25
2020-02-12,Hella,BIRDY,1.75
2020-02-13,Mariola,BIRDY,2.75
2020-02-13,Hella,NSTAT,1.5
2020-02-13,Mariola,BIRDY,3.25
2020-02-13,Hella,BIRDY,1.25
2020-02-14,Hella,XTOR,0.5
2020-02-14,Mariola,BIRDY,0.75
2020-02-14,Mariola,NSTAT,1.0
2020-02-14,Mariola,XTOR,4.25
2020-02-14,Hella,BIRDY,0.25
2020-02-14,Mariola,BIRDY,1.5
2020-02-14,Hella,NSTAT,2.25
2020-02-14,Mariola,BIRDY,3.25
2020-02-14,Hella,XTOR,0.5
2020-02-14,Antonie,NSTAT,0.25
2020-02-14,Hella,NSTAT,3.5
2020-02-17,Hella,NSTAT,1.75
2020-02-17,Hella,NSTAT,2.75
2020-02-17,Hella,BIRDY,1.75
2020-02-17,Hella,XTOR,0.5
2020-02-17,Mariola,XTOR,1.0
2020-02-17,Mariola,NSTAT,1.25
2020-02-17,Hella,BIRDY,0.75
2020-02-17,Hella,BIRDY,1.75
2020-02-18,Mariola,NSTAT,0.75
2020-02-18,Hella,BIRDY,0.75
2020-02-18,Hella,NSTAT,2.25
2020-02-18,Hella,NSTAT,1.0
2020-02-18,Hella,BIRDY,0.5
2020-02-18,Mariola,XTOR,2.75
2020-02-18,Mariola,XTOR,2.25
2020-02-18,Mariola,XTOR,0.25
2020-02-18,Mariola,NSTAT,0.75
2020-02-19,Mariola,NSTAT,0.75
2020-02-19,Hella,XTOR,0.5
2020-02-19,Hella,NSTAT,2.25
2020-02-19,Mariola,XTOR,1.0
2020-02-19,Hella,BIRDY,1.0
2020-02-20,Hella,NSTAT,1.25
2020-02-20,Hella,NSTAT,2.5
2020-02-20,Mariola,NSTAT,0.5
2020-02-20,Antonie,BIRDY,2.0
2020-02-20,Mariola,XTOR,1.25
2020-02-20,Hella,XTOR,0.75
2020-02-20,Mariola,BIRDY,1.0
2020-02-20,Mariola,BIRDY,0.5
2020-02-21,Mariola,BIRDY,1.0
2020-02-21,Antonie,NSTAT,0.75
2020-02-21,Mariola,XTOR,4.25
2020-02-21,Mariola,BIRDY,0.75
2020-02-21,Mariola,BIRDY,0.5
2020-02-21,Mariola,BIRDY,3.25
2020-02-21,Mariola,XTOR,1.0
2020-02-21,Mariola,BIRDY,0.75
2020-02-21,Mariola,XTOR,3.0
2020-02-21,Hella,NSTAT,4.25
2020-02-24,Mariola,BIRDY,1.75
2020-02-24,Mariola,NSTAT,1.0
2020-02-24,Hella,NSTAT,4.25
2020-02-24,Hella,XTOR,0.75
2020-02-24,Hella,NSTAT,4.25
2020-02-24,Hella,BIRDY,0.75
2020-02-24,Hella,BIRDY,1.0
2020-02-24,Hella,NSTAT,3.75
2020-02-25,Hella,XTOR,0.25
2020-02-25,Hella,NSTAT,1.25
2020-02-25,Antonie,BIRDY,0.75
2020-02-25,Hella,BIRDY,0.5
2020-02-25,Hella,NSTAT,2.5
2020-02-26,Hella,BIRDY,1.0
2020-02-26,Mariola,NSTAT,0.25
2020-02-26,Fatima,NSTAT,0.5
2020-02-26,Hella,BIRDY,0.25
2020-02-27,Mariola,BIRDY,2.25
2020-02-27,Hella,NSTAT,0.5
2020-02-27,Mariola,BIRDY,2.0
2020-02-27,Mariola,XTOR,4.25
2020-02-27,Hella,NSTAT,0.5
2020-02-27,Antonie,XTOR,0.75
2020-02-27,Mariola,XTOR,1.75
2020-02-28,Fatima,BIRDY,0.25
2020-02-28,Hella,BIRDY,1.75
2020-02-28,Hella,XTOR,1.0
2020-02-28,Mariola,NSTAT,1.25
2020-02-28,Mariola,NSTAT,0.25
2020-02-28,Hella,BIRDY,1.25
2020-03-02,Mariola,XTOR,2.5
2020-03-02,Hella,NSTAT,3.25
2020-03-02,Fatima,NSTAT,0.5
2020-03-02,Antonie,XTOR,0.5
2020-03-02,Mariola,BIRDY,2.75
2020-03-02,Mariola,BIRDY,1.75
2020-03-02,Hella,BIRDY,1.5
2020-03-02,Mariola,NSTAT,0.25
2020-03-03,Mariola,XTOR,3.5
2020-03-03,Mariola,XTOR,2.0
2020-03-03,Hella,XTOR,0.25
2020-03-03,Mariola,NSTAT,0.75
2020-03-03,Hella,XTOR,1.0
2020-03-04,Hella,XTOR,0.75
2020-03-04,Mariola,BIRDY,3.25
2020-03-04,Mariola,BIRDY,2.5
2020-03-04,Mariola,NSTAT,1.25
2020-03-04,Hella,XTOR,0.75
2020-03-04,Mariola,BIRDY,1.75
2020-03-04,Antonie,XTOR,0.75
2020-03-04,Hella,NSTAT,3.75
2020-03-04,Hella,BIRDY,1.0
2020-03-05,Mariola,BIRDY,0.25
2020-03-05,Mariola,BIRDY,2.25
2020-03-05,Mariola,BIRDY,1.25
2020-03-05,Antonie,XTOR,0.5
2020-03-05,Mariola,BIRDY,1.75
2020-03-05,Hella,NSTAT,3.75
2020-03-05,Mariola,NSTAT,0.75
2020-03-05,Mariola,NSTAT,0.75
2020-03-06,Antonie,XTOR,1.25
2020-03-06,Hella,XTOR,1.0
2020-03-06,Hella,XTOR,0.75
2020-03-06,Hella,NSTAT,1.75
2020-03-09,Mariola,BIRDY,0.5
2020-03-09,Mariola,NSTAT,0.5
2020-03-09,Mariola,BIRDY,2.25
2020-03-09,Mariola,NSTAT,0.75
2020-03-09,Mariola,XTOR,2.25
2020-03-09,Fatima,BIRDY,0.5
2020-03-10,Hella,BIRDY,1.75
2020-03-10,Mariola,BIRDY,1.25
2020-03-10,Hella,BIRDY,1.5
2020-03-10,Mariola,XTOR,4.25
2020-03-10,Hella,BIRDY,1.5
2020-03-11,Antonie,NSTAT,0.5
2020-03-11,Mariola,XTOR,4.25
2020-03-11,Hella,NSTAT,1.25
2020-03-11,Hella,BIRDY,1.25
2020-03-12,Hella,XTOR,1.0
2020-03-12,Mariola,NSTAT,0.25
2020-03-12,Mariola,NSTAT,0.5
2020-03-12,Hella,NSTAT,4.25
2020-03-12,Fatima,NSTAT,1.0
2020-03-12,Hella,BIRDY,0.75
2020-03-12,Mariola,XTOR,0.25
2020-03-12,Mariola,NSTAT,0.25
2020-03-12,Hella,XTOR,1.0
2020-03-13,Hella,BIRDY,1.25
2020-03-13,Mariola,NSTAT,0.75
2020-03-13,Mariola,BIRDY,1.0
2020-03-16,Mariola,NSTAT,1.25
2020-03-16,Hella,BIRDY,0.75
2020-03-16,Hella,BIRDY,1.25
2020-03-16,Hella,NSTAT,4.25
2020-03-16,Mariola,BIRDY,0.75
2020-03-16,Hella,NSTAT,0.75
2020-03-16,Hella,XTOR,1.0
2020-03-16,Antonie,NSTAT,0.75
2020-03-16,Mariola,BIRDY,0.25
2020-03-16,Hella,NSTAT,3.0
2020-03-17,Antonie,BIRDY,1.0
2020-03-17,Hella,NSTAT,2.5
2020-03-17,Hella,XTOR,0.5
2020-03-17,Mariola,XTOR,1.0
2020-03-17,Mariola,BIRDY,2.5
2020-03-18,Mariola,NSTAT,1.25
2020-03-18,Antonie,BIRDY,1.0
2020-03-18,Mariola,BIRDY,2.0
2020-03-18,Hella,XTOR,0.5
2020-03-18,Hella,BIRDY,1.25
2020-03-18,Mariola,BIRDY,1.75
2020-03-18,Antonie,NSTAT,0.5
2020-03-19,Mariola,NSTAT,0.5
2020-03-19,Mariola,NSTAT,0.75
2020-03-19,Mariola,BIRDY,2.25
2020-03-19,Antonie,BIRDY,3.5
2020-03-19,Hella,NSTAT,2.0
2020-03-20,Mariola,XTOR,1.0
2020-03-20,Antonie,XTOR,0.25
2020-03-20,Hella,XTOR,0.25
2020-03-20,Mariola,BIRDY,0.5
2020-03-23,Hella,NSTAT,0.5
2020-03-23,Mariola,XTOR,3.75
2020-03-23,Mariola,BIRDY,3.0
2020-03-23,Mariola,NSTAT,0.5
2020-03-23,Mariola,XTOR,3.75
2020-03-24,Hella,BIRDY,0.25
2020-03-24,Mariola,BIRDY,1.0
2020-03-24,Hella,XTOR,0.25
2020-03-24,Antonie,NSTAT,0.75
2020-03-24,Mariola,XTOR,0.5
2020-03-24,Hella,BIRDY,0.5
2020-03-24,Mariola,XTOR,3.25
2020-03-24,Hella,BIRDY,1.5
2020-03-24,Mariola,NSTAT,0.5
2020-03-25,Hella,NSTAT,2.0
2020-03-25,Hella,BIRDY,1.0
2020-03-25,Hella,XTOR,0.25
2020-03-25,Hella,NSTAT,3.75
2020-03-25,Mariola,BIRDY,2.5
2020-03-25,Hella,NSTAT,2.25
2020-03-25,Mariola,BIRDY,3.0
2020-03-25,Mariola,BIRDY,0.25
2020-03-25,Mariola,NSTAT,0.5
2020-03-25,Mariola,XTOR,3.75
2020-03-26,Hella,BIRDY,1.5
2020-03-26,Mariola,BIRDY,1.75
2020-03-26,Antonie,BIRDY,2.75
2020-03-26,Mariola,XTOR,2.5
2020-03-26,Hella,XTOR,0.25
2020-03-26,Mariola,XTOR,1.5
2020-03-27,Hella,XTOR,0.75
2020-03-27,Hella,XTOR,1.25
2020-03-27,Mariola,NSTAT,0.75
2020-03-27,Hella,NSTAT,1.5
2020-03-30,Mariola,NSTAT,0.25
2020-03-30,Hella,XTOR,1.0
2020-03-30,Mariola,BIRDY,2.25
2020-03-31,Hella,XTOR,1.25
2020-03-31,Hella,BIRDY,1.5
2020-03-31,Hella,NSTAT,2.5
2020-03-31,Mariola,NSTAT,0.5
2020-03-31,Fatima,NSTAT,1.25
2020-03-31,Mariola,NSTAT,0.75
2020-04-01,Hella,NSTAT,3.25
2020-04-02,Antonie,BIRDY,0.5
2020-04-02,Hella,BIRDY,0.75
2020-04-02,Hella,NSTAT,3.5
2020-04-02,Hella,NSTAT,1.0
2020-04-02,Fatima,BIRDY,0.25
2020-04-03,Mariola,NSTAT,1.0
2020-04-03,Mariola,BIRDY,2.25
2020-04-03,Mariola,BIRDY,1.75
2020-04-03,Mariola,NSTAT,1.25
2020-04-03,Mariola,BIRDY,2.75
2020-04-03,Mariola,NSTAT,1.0
2020-04-03,Hella,XTOR,0.75
2020-04-06,Hella,NSTAT,3.75
2020-04-06,Mariola,NSTAT,0.5
2020-04-06,Hella,NSTAT,0.25
2020-04-06,Mariola,BIRDY,1.25
2020-04-06,Fatima,BIRDY,1.25
2020-04-06,Mariola,BIRDY,2.0
2020-04-06,Hella,NSTAT,2.25
2020-04-07,Hella,XTOR,0.25
2020-04-07,Hella,NSTAT,2.75
2020-04-07,Mariola,BIRDY,2.25
2020-04-07,Mariola,XTOR,1.25
2020-04-07,Hella,BIRDY,0.25
2020-04-07,Hella,NSTAT,1.0
2020-04-08,Mariola,BIRDY,2.25
2020-04-08,Hella,BIRDY,0.75
2020-04-08,Mariola,NSTAT,0.75
2020-04-08,Hella,NSTAT,2.25
2020-04-08,Mariola,XTOR,1.25
2020-04-08,Mariola,NSTAT,0.75
2020-04-09,Hella,BIRDY,1.0
2020-04-09,Hella,XTOR,0.75
2020-04-09,Hella,BIRDY,0.75
2020-04-09,Mariola,XTOR,0.75
2020-04-09,Fatima,NSTAT,0.75
2020-04-09,Hella,NSTAT,1.0
2020-04-10,Hella,XTOR,0.5
2020-04-10,Hella,NSTAT,4.25
2020-04-10,Mariola,NSTAT,0.5
2020-04-10,Hella,XTOR,0.25
2020-04-10,Antonie,XTOR,0.5
2020-04-10,Mariola,BIRDY,3.25
2020-04-10,Fatima,NSTAT,0.5
2020-04-10,Hella,XTOR,1.25
2020-04-10,Hella,BIRDY,1.75
2020-04-13,Mariola,BIRDY,2.5
2020-04-13,Antonie,XTOR,0.75
2020-04-13,Mariola,BIRDY,1.5
2020-04-14,Hella,BIRDY,0.75
2020-04-14,Hella,XTOR,0.75
2020-04-14,Hella,BIRDY,1.5
2020-04-14,Hella,XTOR,1.0
2020-04-14,Mariola,XTOR,1.75
2020-04-14,Hella,NSTAT,0.5
2020-04-14,Hella,XTOR,0.25
2020-04-15,Mariola,BIRDY,0.25
2020-04-15,Mariola,BIRDY,1.0
2020-04-15,Fatima,BIRDY,0.75
2020-04-15,Mariola,NSTAT,0.75
2020-04-15,Hella,BIRDY,1.0
2020-04-15,Mariola,BIRDY,0.25
2020-04-15,Hella,XTOR,1.0
2020-04-15,Mariola,BIRDY,3.0
2020-04-16,Mariola,BIRDY,0.75
2020-04-16,Mariola,BIRDY,2.0
2020-04-16,Antonie,BIRDY,1.75
2020-04-16,Mariola,NSTAT,1.25
2020-04-16,Hella,NSTAT,1.25
2020-04-16,Mariola,BIRDY,2.5
2020-04-16,Hella,XTOR,1.25
2020-04-17,Hella,XTOR,0.25
2020-04-17,Mariola,NSTAT,1.25
2020-04-17,Mariola,BIRDY,0.75
2020-04-17,Hella,XTOR,1.25
2020-04-17,Hella,BIRDY,0.5
2020-04-17,Fatima,BIRDY,1.25
2020-04-17,Mariola,XTOR,0.75
2020-04-17,Hella,XTOR,0.25
2020-04-17,Hella,BIRDY,1.25
2020-04-20,Hella,BIRDY,0.5
2020-04-20,Mariola,NSTAT,0.25
2020-04-20,Mariola,BIRDY,1.25
2020-04-20,Mariola,BIRDY,0.75
2020-04-20,Hella,BIRDY,1.0
2020-04-20,Mariola,BIRDY,2.0
2020-04-20,Mariola,XTOR,0.25
2020-04-21,Hella,NSTAT,3.75
2020-04-21,Mariola,XTOR,0.25
2020-04-21,Antonie,BIRDY,1.5
2020-04-21,Hella,BIRDY,1.0
2020-04-21,Fatima,BIRDY,1.0
2020-04-21,Hella,BIRDY,0.5
2020-04-21,Mariola,BIRDY,3.25
2020-04-21,Hella,NSTAT,4.0
2020-04-22,Antonie,NSTAT,0.25
2020-04-22,Hella,XTOR,0.75
2020-04-22,Mariola,XTOR,3.0
2020-04-22,Hella,BIRDY,1.75
2020-04-22,Mariola,NSTAT,1.25
2020-04-22,Hella,BIRDY,1.0
2020-04-22,Mariola,BIRDY,2.0
2020-04-22,Hella,XTOR,0.25
2020-04-22,Antonie,XTOR,0.5
2020-04-22,Hella,BIRDY,0.25
2020-04-22,Hella,XTOR,0.5
2020-04-23,Hella,BIRDY,0.75
2020-04-23,Hella,NSTAT,4.0
2020-04-23,Hella,BIRDY,0.5
2020-04-23,Hella,BIRDY,1.0
2020-04-24,Hella,BIRDY,1.75
2020-04-24,Hella,NSTAT,0.25
2020-04-24,Hella,BIRDY,1.5
2020-04-24,Hella,NSTAT,4.0
2020-04-24,Hella,XTOR,1.25
2020-04-27,Fatima,BIRDY,0.5
2020-04-27,Mariola,XTOR,4.0
2020-04-27,Mariola,BIRDY,0.25
2020-04-27,Hella,NSTAT,3.25
2020-04-27,Hella,XTOR,0.25
2020-04-27,Mariola,XTOR,2.75
2020-04-27,Mariola,BIRDY,2.0
2020-04-27,Hella,BIRDY,1.5
2020-04-27,Hella,NSTAT,1.25
2020-04-27,Mariola,XTOR,1.75
2020-04-28,Antonie,XTOR,0.25
2020-04-28,Hella,NSTAT,1.0
2020-04-28,Mariola,BIRDY,2.25
2020-04-28,Mariola,NSTAT,1.0
2020-04-28,Fatima,XTOR,0.25
2020-04-28,Hella,BIRDY,0.75
2020-04-29,Hella,XTOR,0.75
2020-04-29,Mariola,XTOR,2.0
2020-04-29,Hella,NSTAT,3.0
2020-04-29,Mariola,NSTAT,0.75
2020-04-29,Mariola,XTOR,0.75
2020-04-29,Mariola,XTOR,3.0
2020-04-29,Hella,XTOR,0.5
2020-04-29,Hella,NSTAT,3.5
2020-04-29,Antonie,XTOR,0.5
2020-04-29,Mariola,BIRDY,0.75
2020-04-29,Hella,BIRDY,1.75
2020-04-30,Fatima,BIRDY,0.5
2020-04-30,Hella,NSTAT,4.25
2020-04-30,Mariola,XTOR,2.25
2020-04-30,Hella,BIRDY,0.5
2020-04-30,Hella,BIRDY,0.25
2020-05-01,Hella,NSTAT,1.75
2020-05-01,Fatima,BIRDY,0.75
2020-05-01,Hella,NSTAT,0.25
2020-05-01,Mariola,BIRDY,0.25
2020-05-04,Hella,NSTAT,0.5
2020-05-04,Hella,NSTAT,1.25
2020-05-04,Hella,BIRDY,0.5
2020-05-04,Mariola,BIRDY,1.75
2020-05-04,Hella,NSTAT,2.5
2020-05-04,Hella,XTOR,1.25
2020-05-04,Mariola,NSTAT,0.25
2020-05-04,Elise,NSTAT,2.25
2020-05-04,Mariola,XTOR,4.25
2020-05-05,Mariola,BIRDY,1.5
2020-05-05,Mariola,NSTAT,0.75
2020-05-05,Mariola,XTOR,1.5
2020-05-05,Hella,BIRDY,0.75
2020-05-05,Hella,XTOR,1.25
2020-05-05,Hella,NSTAT,3.5
2020-05-05,Hella,BIRDY,0.5
2020-05-05,Mariola,XTOR,1.0
2020-05-05,Mariola,BIRDY,0.5
2020-05-06,Elise,BIRDY,1.25
2020-05-06,Hella,NSTAT,0.5
2020-05-06,Hella,XTOR,1.25
2020-05-06,Mariola,NSTAT,1.25
2020-05-06,Hella,BIRDY,0.75
2020-05-06,Hella,BIRDY,0.25
2020-05-06,Mariola,XTOR,2.0
2020-05-06,Hella,BIRDY,1.0
2020-05-06,Mariola,BIRDY,1.25
2020-05-06,Hella,NSTAT,0.5
2020-05-06,Mariola,NSTAT,0.5
2020-05-07,Mariola,BIRDY,2.5
2020-05-07,Mariola,NSTAT,1.25
2020-05-07,Mariola,BIRDY,1.5
2020-05-07,Mariola,BIRDY,2.5
2020-05-08,Mariola,BIRDY,1.25
2020-05-08,Mariola,BIRDY,1.25
2020-05-08,Mariola,NSTAT,0.25
2020-05-08,Mariola,XTOR,1.5
2020-05-11,Mariola,XTOR,3.5
2020-05-11,Hella,XTOR,0.25
2020-05-11,Hella,XTOR,0.75
2020-05-11,Mariola,BIRDY,2.75
2020-05-11,Hella,NSTAT,1.5
2020-05-11,Hella,NSTAT,1.5
2020-05-12,Hella,BIRDY,0.25
2020-05-12,Mariola,BIRDY,0.5
2020-05-12,Hella,NSTAT,4.25
2020-05-12,Fatima,XTOR,0.25
2020-05-12,Mariola,XTOR,0.5
2020-05-12,Antonie,NSTAT,0.75
2020-05-12,Mariola,BIRDY,1.5
2020-05-13,Hella,BIRDY,1.0
2020-05-13,Mariola,XTOR,1.75
2020-05-13,Hella,NSTAT,1.25
2020-05-13,Mariola,NSTAT,1.0
2020-05-13,Mariola,NSTAT,0.5
2020-05-13,Mariola,BIRDY,1.75
2020-05-14,Mariola,NSTAT,0.5
2020-05-14,Hella,NSTAT,4.25
2020-05-14,Hella,XTOR,0.5
2020-05-14,Fatima,BIRDY,1.25
2020-05-15,Hella,NSTAT,0.75
2020-05-15,Mariola,XTOR,0.5
2020-05-15,Mariola,NSTAT,0.75
2020-05-15,Hella,NSTAT,3.75
2020-05-15,Hella,NSTAT,1.75
2020-05-15,Hella,BIRDY,0.5
2020-05-15,Fatima,BIRDY,1.25
2020-05-15,Mariola,NSTAT,0.75
2020-05-18,Hella,NSTAT,4.0
2020-05-18,Fatima,XTOR,0.25
2020-05-18,Antonie,XTOR,0.75
2020-05-18,Mariola,BIRDY,0.75
2020-05-18,Fatima,BIRDY,1.0
2020-05-18,Hella,XTOR,0.5
2020-05-18,Hella,BIRDY,1.25
2020-05-19,Mariola,NSTAT,0.75
2020-05-19,Mariola,NSTAT,0.75
2020-05-19,Fatima,XTOR,0.25
